
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0358                          U2                                23   1     13  13   1 30         30 0 XSIG020315          (4491-1-13)
40-0358                          U2                                23   1     14  14   1 31         31 0 SPI1_MOSI           (4152-16-13)
40-0358                          U2                                23   1     15  15   1 67         67 0 LED_R               (4286-1-13)
40-0358                          U2                                23   1     16  16   1 68         68 0 LED_G               (4286-2-13)
40-0358                          U2                                23   1     17  17   1 69         69 0 LED_B               (4286-3-13)
40-0358                          U2                                23   1     18  18   1 70         70 0                     (0-0-0)
40-0358                          U2                                23   1     19  19   1 71         71 0                     (0-0-0)
40-0358                          U2                                23   1     20  20   1 34         34 0 XSIG020305          (4474-2-13)
40-0358                          U2                                23   1     21  21   1 35         35 0 XSIG020306          (4474-3-13)
40-0358                          U2                                23   1     22  22   1 36         36 0 XSIG020307          (4474-4-13)
40-0358                          U2                                23   1     23  23   1 91         91 0 SPI6_MOSI           (4152-20-13)
40-0358                          U2                                23   1     24  24   1 92         92 0                     (0-0-0)
40-0358                          U2                                23   1     25  25   1 93         93 0                     (0-0-0)
40-0358                          U2                                23   1     26  26   1 95         95 0                     (0-0-0)
40-0358                          U2                                23   1     27  27   1 96         96 0                     (0-0-0)
40-0358                          U2                                23   1     28  28   1 46         46 0 SPI2_SCK            (4152-14-13)
40-0358                          U2                                23   1     29  29   1 47         47 0                     (0-0-0)
40-0358                          U2                                23   1     30  30   1 51         51 0                     (0-0-0)
40-0358                          U2                                23   1     31  31   1 52         52 0                     (0-0-0)
40-0358                          U2                                23   1     32  32   1 53         53 0 SD_D0               (4152-6-13)
40-0358                          U2                                23   1     33  33   1 54         54 0                     (0-0-0)
40-0358                          U2                                23   1     34  34   1 15         15 0                     (0-0-0)
40-0358                          U2                                23   1     35  35   1 16         16 0 SPI2_MOSI           (4152-13-13)
40-0358                          U2                                23   1     36  36   1 17         17 0                     (0-0-0)
40-0358                          U2                                23   1     37  37   1 18         18 0                     (0-0-0)
40-0358                          U2                                23   1     38  38   1 32         32 0 XSIG020308          (4474-5-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0358                          U2                                23   1     39  39   1 33         33 0 XSIG020309          (4474-6-13)
40-0358                          U2                                23   1     40  40   1 63         63 0                     (0-0-0)
40-0358                          U2                                23   1     41  41   1 64         64 0                     (0-0-0)
40-0358                          U2                                23   1     42  42   1 65         65 0                     (0-0-0)
40-0358                          U2                                23   1     43  43   1 66         66 0                     (0-0-0)
40-0358                          U2                                23   1     44  44   1 78         78 0 SPI3_SCK            (4152-17-13)
40-0358                          U2                                23   1     45  45   1 79         79 0                     (0-0-0)
40-0358                          U2                                23   1     46  46   1 80         80 0 SPI3_MOSI           (4152-18-13)
40-0358                          U2                                23   1     47  47   1 7           7 0                     (0-0-0)
40-0358                          U2                                23   1     48  48   1 8           8 0                     (0-0-0)
40-0358                          U2                                23   1     49  49   1 9           9 0                     (0-0-0)
40-0358                          U2                                23   1     50  50   1 12         12 0 XSIG020285          (4282-7-13)
40-0358                          U2                                23   1     51  51   1 13         13 0 XSIG020283          (4282-6-13)
40-0358                          U2                                23   1     52  52   1 14         14 0 nRST                (4174-3-13)
40-0358                          U2                                23   1     53  53   1 6           6 0 VCC                 (43-2-13)
40-0358                          U2                                23   1     54  54   1 48         48 0 XSIG020151          (4192-1-13)
40-0358                          U2                                23   1     55  55   1 73         73 0 XSIG020152          (4192-2-13)
40-0358                          U2                                23   1     56  56   1 21         21 0 VCC                 (43-2-13)
40-0358                          U2                                23   1     57  57   1 20         20 0 VCC                 (43-2-13)
40-0358                          U2                                23   2      1   1   2 100       100 0 VCC                 (43-2-13)
40-0358                          U2                                23   2      1   1   3 75         75 0 VCC                 (43-2-13)
40-0358                          U2                                23   2      1   1   4 50         50 0 VCC                 (43-2-13)
