
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D26                               51   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D26                               51   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D27                               50   1      1   1   1 2           2 0 XSIG012424          (4247-47-13)
20-0075                          D27                               50   1      2   2   1 5           5 0 XSIG012426          (4247-49-13)
20-0075                          D27                               50   1      3   3   1 1           1 0 XSIG012425          (4247-48-13)
20-0075                          D27                               50   1      4   4   1 4           4 0 XSIG012427          (4247-50-13)
20-0075                          D27                               50   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D27                               50   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D28                               53   1      1   1   1 2           2 0 XSIG012426          (4247-49-13)
20-0075                          D28                               53   1      2   2   1 5           5 0 XSIG012428          (4247-51-13)
20-0075                          D28                               53   1      3   3   1 1           1 0 XSIG012427          (4247-50-13)
20-0075                          D28                               53   1      4   4   1 4           4 0 XSIG012429          (4247-52-13)
20-0075                          D28                               53   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D28                               53   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D29                               52   1      1   1   1 2           2 0 XSIG012428          (4247-51-13)
20-0075                          D29                               52   1      2   2   1 5           5 0 XSIG012430          (4247-53-13)
20-0075                          D29                               52   1      3   3   1 1           1 0 XSIG012429          (4247-52-13)
20-0075                          D29                               52   1      4   4   1 4           4 0 XSIG012431          (4247-54-13)
20-0075                          D29                               52   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D29                               52   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D30                               47   1      1   1   1 2           2 0 XSIG012430          (4247-53-13)
20-0075                          D30                               47   1      2   2   1 5           5 0 CO30                (4214-53-13)
20-0075                          D30                               47   1      3   3   1 1           1 0 XSIG012431          (4247-54-13)
20-0075                          D30                               47   1      4   4   1 4           4 0 DO30                (4214-54-13)
20-0075                          D30                               47   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D30                               47   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D31                               46   1      1   1   1 2           2 0 CO30                (4214-53-13)
20-0075                          D31                               46   1      2   2   1 5           5 0 XSIG012440          (4247-55-13)
20-0075                          D31                               46   1      3   3   1 1           1 0 DO30                (4214-54-13)
20-0075                          D31                               46   1      4   4   1 4           4 0 XSIG012441          (4247-56-13)
20-0075                          D31                               46   2      1   1   2 6           6 0 VCC                 (43-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D31                               46   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D32                               49   1      1   1   1 2           2 0 XSIG012440          (4247-55-13)
20-0075                          D32                               49   1      2   2   1 5           5 0 XSIG012458          (4247-57-13)
20-0075                          D32                               49   1      3   3   1 1           1 0 XSIG012441          (4247-56-13)
20-0075                          D32                               49   1      4   4   1 4           4 0 XSIG012459          (4247-58-13)
20-0075                          D32                               49   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D32                               49   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D33                               48   1      1   1   1 2           2 0 XSIG012458          (4247-57-13)
20-0075                          D33                               48   1      2   2   1 5           5 0 XSIG012460          (4247-59-13)
20-0075                          D33                               48   1      3   3   1 1           1 0 XSIG012459          (4247-58-13)
20-0075                          D33                               48   1      4   4   1 4           4 0 XSIG012461          (4247-60-13)
20-0075                          D33                               48   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D33                               48   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D34                               45   1      1   1   1 2           2 0 XSIG012460          (4247-59-13)
20-0075                          D34                               45   1      2   2   1 5           5 0 XSIG012462          (4247-61-13)
20-0075                          D34                               45   1      3   3   1 1           1 0 XSIG012461          (4247-60-13)
20-0075                          D34                               45   1      4   4   1 4           4 0 XSIG012463          (4247-62-13)
20-0075                          D34                               45   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D34                               45   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D35                               44   1      1   1   1 2           2 0 XSIG012462          (4247-61-13)
20-0075                          D35                               44   1      2   2   1 5           5 0 XSIG012464          (4247-63-13)
20-0075                          D35                               44   1      3   3   1 1           1 0 XSIG012463          (4247-62-13)
20-0075                          D35                               44   1      4   4   1 4           4 0 XSIG012465          (4247-64-13)
20-0075                          D35                               44   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D35                               44   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D36                               43   1      1   1   1 2           2 0 XSIG012464          (4247-63-13)
20-0075                          D36                               43   1      2   2   1 5           5 0 XSIG012466          (4247-65-13)
20-0075                          D36                               43   1      3   3   1 1           1 0 XSIG012465          (4247-64-13)
20-0075                          D36                               43   1      4   4   1 4           4 0 XSIG012467          (4247-66-13)
20-0075                          D36                               43   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D36                               43   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D37                               42   1      1   1   1 2           2 0 XSIG012466          (4247-65-13)
20-0075                          D37                               42   1      2   2   1 5           5 0 XSIG012468          (4247-67-13)
20-0075                          D37                               42   1      3   3   1 1           1 0 XSIG012467          (4247-66-13)
20-0075                          D37                               42   1      4   4   1 4           4 0 XSIG012469          (4247-68-13)
20-0075                          D37                               42   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D37                               42   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D38                               39   1      1   1   1 2           2 0 XSIG012468          (4247-67-13)
20-0075                          D38                               39   1      2   2   1 5           5 0 XSIG012470          (4247-69-13)
20-0075                          D38                               39   1      3   3   1 1           1 0 XSIG012469          (4247-68-13)
20-0075                          D38                               39   1      4   4   1 4           4 0 XSIG012471          (4247-70-13)
20-0075                          D38                               39   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D38                               39   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D39                               38   1      1   1   1 2           2 0 XSIG012470          (4247-69-13)
20-0075                          D39                               38   1      2   2   1 5           5 0 XSIG012472          (4247-71-13)
20-0075                          D39                               38   1      3   3   1 1           1 0 XSIG012471          (4247-70-13)
20-0075                          D39                               38   1      4   4   1 4           4 0 XSIG012473          (4247-72-13)
20-0075                          D39                               38   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D39                               38   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D40                               41   1      1   1   1 2           2 0 XSIG012472          (4247-71-13)
20-0075                          D40                               41   1      2   2   1 5           5 0 CO40                (4214-73-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D40                               41   1      3   3   1 1           1 0 XSIG012473          (4247-72-13)
20-0075                          D40                               41   1      4   4   1 4           4 0 DO40                (4214-74-13)
20-0075                          D40                               41   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D40                               41   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D41                               40   1      1   1   1 2           2 0 CO40                (4214-73-13)
20-0075                          D41                               40   1      2   2   1 5           5 0 XSIG012482          (4247-73-13)
20-0075                          D41                               40   1      3   3   1 1           1 0 DO40                (4214-74-13)
20-0075                          D41                               40   1      4   4   1 4           4 0 XSIG012483          (4247-74-13)
